id;group_id;group_name;group_description;group_owner;last_updated
1;Ports;open-source Customer SQL;Bedfordshire;mobile killer;Forward Ethiopia
2;Personal Loan Account Direct;back up;XML British Indian Ocean Territory (Chagos Archipelago) digital;web-enabled;Licensed Intranet
3;Personal Loan Account Wyoming Rue;Direct Chief;Movies infrastructures;Money Market Account;Sao Tome and Principe
4;Wisconsin matrix real-time;Optional;Hong Kong system visualize;Data initiative tertiary;cyan Central
5;needs-based Buckinghamshire;demand-driven Product;forecast Metal card;Christmas Island transmitting;action-items
6;copy South Carolina;Avon;Buckinghamshire Clothing;Rustic Granite Sausages parsing Representative;embrace
7;bus;Money Market Account;Kansas Ethiopian Birr transmitter;auxiliary Isle generating;Rustic Madagascar
8;Security;full-range markets;Extended withdrawal;Maldives benchmark Executive;systematic
9;functionalities attitude Cambridgeshire;bandwidth;invoice indigo Product;Bridge heuristic Small Metal Tuna;Bike
10;Isle;transmitting Heard Island and McDonald Islands Orchestrator;Sleek;ROI Usability;quantifying
